StarCraft II: Heart of the Swarm,June,2013,Ritmix Russian StarCraft 2 League Season 5,9000,USD,32,
StarCraft II: Heart of the Swarm,June,2013,E-Sport SM 2012-2013,23062,USD,8,
StarCraft II: Heart of the Swarm,May,2013,Numericable M-House Cup 2,9450,USD,8,
StarCraft II: Heart of the Swarm,May,2013,TeSL 2012-2013 Second Half Season 2,14622,USD,12,
StarCraft II: Heart of the Swarm,May,2013,ESET Masters 2013,26900,USD,32,
StarCraft II: Heart of the Swarm,May,2013,NVIDIA Gaming Festival 2013,10595,USD,4,
StarCraft II: Heart of the Swarm,May,2013,SHOUTcraft America,10000,USD,16,
StarCraft II: Heart of the Swarm,April,2013,2013 GIGABYTE Pro League 1,6600,USD,8,
StarCraft II: Heart of the Swarm,March,2013,TeSL 2012-2013 Second Half Season 1,14700,USD,12,
StarCraft II: Heart of the Swarm,March,2013,ESET UK Masters 2013 Season 1,15570,USD,24,
StarCraft II: Heart of the Swarm,February,2013,EPS Germany Spring 2013,10750,USD,12,
StarCraft II: Heart of the Swarm,August,2013,GdA Tournament of Legends #2,600,USD,32,
StarCraft II: Heart of the Swarm,August,2013,LaG Gaming $1000 Tournament,1000,USD,16,
StarCraft II: Heart of the Swarm,July,2013,MLG Summer Invite,1500,USD,16,
StarCraft II: Heart of the Swarm,July,2013,NetWars HotS Cup #2,226,USD,16,
StarCraft II: Heart of the Swarm,July,2013,epic.ELEVEN,770,USD,,
StarCraft II: Heart of the Swarm,July,2013,Cup of Russia,1370,USD,16,
StarCraft II: Heart of the Swarm,July,2013,Arena AVCon Tournament,5000,USD,16,
StarCraft II: Heart of the Swarm,July,2013,Icy Cup 2013,1900,USD,8,
StarCraft II: Heart of the Swarm,June,2013,Copa America 2013 Season 1,950,USD,16,
StarCraft II: Heart of the Swarm,June,2013,PxL-Lan 38,910,USD,44,
StarCraft II: Heart of the Swarm,June,2013,Battle of Four,1520,USD,8,
StarCraft II: Heart of the Swarm,June,2013,Reverse Race Tournament 2,500,GBP,,
StarCraft II: Heart of the Swarm,June,2013,Plantronics MouseShake SC2 Cup,600,USD,,
StarCraft II: Heart of the Swarm,June,2013,GameToo.eXeS European Cup,909,USD,32,
StarCraft II: Heart of the Swarm,June,2013,Campionato Italiano Personal Gamer 2013,2180,USD,32,
StarCraft II: Heart of the Swarm,June,2013,The SEANA Trials,1470,USD,16,
StarCraft II: Heart of the Swarm,June,2013,Third Ignition Starcraft Open,620,USD,32,
StarCraft II: Heart of the Swarm,June,2013,Hf.lan 5,1040,USD,32,
StarCraft II: Heart of the Swarm,June,2013,Dutch Starcraft League 2013,1305,USD,64,
StarCraft II: Heart of the Swarm,May,2013,SC2Improve Summer League 2013,600,USD,,
StarCraft II: Heart of the Swarm,May,2013,Vengeance Cup Singapore,5000,USD,14,
StarCraft II: Heart of the Swarm,May,2013,WCG 2013 Wild Card Tournament,940,USD,,
StarCraft II: Heart of the Swarm,May,2013,Cydus SC2 Tournament,400,USD,,
StarCraft II: Heart of the Swarm,May,2013,Svenska E-sportcupen 2013 Vasteras,6000,USD,,
StarCraft II: Heart of the Swarm,May,2013,KSET E-SPORTS LAN 2,195,USD,,
StarCraft II: Heart of the Swarm,May,2013,Birdie 23,2900,USD,,
StarCraft II: Heart of the Swarm,May,2013,Starcraft2.fi 3V. Cup,547,USD,,
StarCraft II: Heart of the Swarm,April,2013,EPS Poland Season VI,1950,USD,,
StarCraft II: Heart of the Swarm,April,2013,ESChamp 2013 Elite Series,500,USD,,
StarCraft II: Heart of the Swarm,April,2013,Overclock.net HotS Challenge,2500,USD,,
StarCraft II: Heart of the Swarm,April,2013,Francophone Championship Season 3,2611,USD,28,
StarCraft II: Heart of the Swarm,April,2013,Conn.Si Arena Season 2,261,USD,20,
